group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arithmetic/hydroflow/compiled,,,,,1160708.0,ns,3
arithmetic/hydroflow/compiled,,,,,2496916.0,ns,6
arithmetic/hydroflow/compiled,,,,,3852125.0,ns,9
arithmetic/hydroflow/compiled,,,,,5178134.0,ns,12
arithmetic/hydroflow/compiled,,,,,6388241.0,ns,15
arithmetic/hydroflow/compiled,,,,,7085946.0,ns,18
arithmetic/hydroflow/compiled,,,,,9383861.0,ns,21
arithmetic/hydroflow/compiled,,,,,9988365.0,ns,24
arithmetic/hydroflow/compiled,,,,,10837070.0,ns,27
arithmetic/hydroflow/compiled,,,,,11555776.0,ns,30
arithmetic/hydroflow/compiled,,,,,12896983.0,ns,33
arithmetic/hydroflow/compiled,,,,,13525388.0,ns,36
arithmetic/hydroflow/compiled,,,,,15073598.0,ns,39
arithmetic/hydroflow/compiled,,,,,16280706.0,ns,42
arithmetic/hydroflow/compiled,,,,,17177612.0,ns,45
arithmetic/hydroflow/compiled,,,,,18726121.0,ns,48
arithmetic/hydroflow/compiled,,,,,19793229.0,ns,51
arithmetic/hydroflow/compiled,,,,,20767035.0,ns,54
arithmetic/hydroflow/compiled,,,,,22264845.0,ns,57
arithmetic/hydroflow/compiled,,,,,22684247.0,ns,60
arithmetic/hydroflow/compiled,,,,,24788561.0,ns,63
arithmetic/hydroflow/compiled,,,,,24999063.0,ns,66
arithmetic/hydroflow/compiled,,,,,27084776.0,ns,69
arithmetic/hydroflow/compiled,,,,,29090089.0,ns,72
arithmetic/hydroflow/compiled,,,,,31143702.0,ns,75
arithmetic/hydroflow/compiled,,,,,29688793.0,ns,78
arithmetic/hydroflow/compiled,,,,,32136409.0,ns,81
arithmetic/hydroflow/compiled,,,,,33904220.0,ns,84
arithmetic/hydroflow/compiled,,,,,32953514.0,ns,87
arithmetic/hydroflow/compiled,,,,,37736946.0,ns,90
arithmetic/hydroflow/compiled,,,,,38412449.0,ns,93
arithmetic/hydroflow/compiled,,,,,37708845.0,ns,96
arithmetic/hydroflow/compiled,,,,,39828459.0,ns,99
arithmetic/hydroflow/compiled,,,,,39455956.0,ns,102
arithmetic/hydroflow/compiled,,,,,40483564.0,ns,105
arithmetic/hydroflow/compiled,,,,,40955666.0,ns,108
arithmetic/hydroflow/compiled,,,,,42443076.0,ns,111
arithmetic/hydroflow/compiled,,,,,44533289.0,ns,114
arithmetic/hydroflow/compiled,,,,,45687997.0,ns,117
arithmetic/hydroflow/compiled,,,,,46792204.0,ns,120
arithmetic/hydroflow/compiled,,,,,47855511.0,ns,123
arithmetic/hydroflow/compiled,,,,,48624416.0,ns,126
arithmetic/hydroflow/compiled,,,,,54547254.0,ns,129
arithmetic/hydroflow/compiled,,,,,51248033.0,ns,132
arithmetic/hydroflow/compiled,,,,,51252533.0,ns,135
arithmetic/hydroflow/compiled,,,,,52590742.0,ns,138
arithmetic/hydroflow/compiled,,,,,53880150.0,ns,141
arithmetic/hydroflow/compiled,,,,,60785495.0,ns,144
arithmetic/hydroflow/compiled,,,,,62035504.0,ns,147
arithmetic/hydroflow/compiled,,,,,60841895.0,ns,150
arithmetic/hydroflow/compiled,,,,,59257585.0,ns,153
arithmetic/hydroflow/compiled,,,,,58705682.0,ns,156
arithmetic/hydroflow/compiled,,,,,60767194.0,ns,159
arithmetic/hydroflow/compiled,,,,,62172904.0,ns,162
arithmetic/hydroflow/compiled,,,,,65866629.0,ns,165
arithmetic/hydroflow/compiled,,,,,67830840.0,ns,168
arithmetic/hydroflow/compiled,,,,,67230537.0,ns,171
arithmetic/hydroflow/compiled,,,,,65476626.0,ns,174
arithmetic/hydroflow/compiled,,,,,67831941.0,ns,177
arithmetic/hydroflow/compiled,,,,,68295343.0,ns,180
arithmetic/hydroflow/compiled,,,,,68681647.0,ns,183
arithmetic/hydroflow/compiled,,,,,70078855.0,ns,186
arithmetic/hydroflow/compiled,,,,,71677466.0,ns,189
arithmetic/hydroflow/compiled,,,,,76470497.0,ns,192
arithmetic/hydroflow/compiled,,,,,73543378.0,ns,195
arithmetic/hydroflow/compiled,,,,,75267589.0,ns,198
arithmetic/hydroflow/compiled,,,,,76662098.0,ns,201
arithmetic/hydroflow/compiled,,,,,86744264.0,ns,204
arithmetic/hydroflow/compiled,,,,,83040939.0,ns,207
arithmetic/hydroflow/compiled,,,,,81805932.0,ns,210
arithmetic/hydroflow/compiled,,,,,82680537.0,ns,213
arithmetic/hydroflow/compiled,,,,,81808632.0,ns,216
arithmetic/hydroflow/compiled,,,,,82266635.0,ns,219
arithmetic/hydroflow/compiled,,,,,85964358.0,ns,222
arithmetic/hydroflow/compiled,,,,,84872552.0,ns,225
arithmetic/hydroflow/compiled,,,,,90420986.0,ns,228
arithmetic/hydroflow/compiled,,,,,88866775.0,ns,231
arithmetic/hydroflow/compiled,,,,,89676981.0,ns,234
arithmetic/hydroflow/compiled,,,,,92163696.0,ns,237
arithmetic/hydroflow/compiled,,,,,91735994.0,ns,240
arithmetic/hydroflow/compiled,,,,,92794201.0,ns,243
arithmetic/hydroflow/compiled,,,,,96841327.0,ns,246
arithmetic/hydroflow/compiled,,,,,100829052.0,ns,249
arithmetic/hydroflow/compiled,,,,,95750620.0,ns,252
arithmetic/hydroflow/compiled,,,,,97336630.0,ns,255
arithmetic/hydroflow/compiled,,,,,96765126.0,ns,258
arithmetic/hydroflow/compiled,,,,,101924960.0,ns,261
arithmetic/hydroflow/compiled,,,,,104584477.0,ns,264
arithmetic/hydroflow/compiled,,,,,105721884.0,ns,267
arithmetic/hydroflow/compiled,,,,,108772005.0,ns,270
arithmetic/hydroflow/compiled,,,,,112786030.0,ns,273
arithmetic/hydroflow/compiled,,,,,107247494.0,ns,276
arithmetic/hydroflow/compiled,,,,,107434395.0,ns,279
arithmetic/hydroflow/compiled,,,,,112208027.0,ns,282
arithmetic/hydroflow/compiled,,,,,122441892.0,ns,285
arithmetic/hydroflow/compiled,,,,,126392918.0,ns,288
arithmetic/hydroflow/compiled,,,,,118043664.0,ns,291
arithmetic/hydroflow/compiled,,,,,116171552.0,ns,294
arithmetic/hydroflow/compiled,,,,,122090891.0,ns,297
arithmetic/hydroflow/compiled,,,,,121038183.0,ns,300
