group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arithmetic/hydroflow/compiled,,,,,1113799.0,ns,4
arithmetic/hydroflow/compiled,,,,,2232498.0,ns,8
arithmetic/hydroflow/compiled,,,,,3387696.0,ns,12
arithmetic/hydroflow/compiled,,,,,4728295.0,ns,16
arithmetic/hydroflow/compiled,,,,,5574095.0,ns,20
arithmetic/hydroflow/compiled,,,,,7309992.0,ns,24
arithmetic/hydroflow/compiled,,,,,8026292.0,ns,28
arithmetic/hydroflow/compiled,,,,,9272890.0,ns,32
arithmetic/hydroflow/compiled,,,,,10230790.0,ns,36
arithmetic/hydroflow/compiled,,,,,11482088.0,ns,40
arithmetic/hydroflow/compiled,,,,,12553487.0,ns,44
arithmetic/hydroflow/compiled,,,,,14276385.0,ns,48
arithmetic/hydroflow/compiled,,,,,14901985.0,ns,52
arithmetic/hydroflow/compiled,,,,,16345583.0,ns,56
arithmetic/hydroflow/compiled,,,,,17066182.0,ns,60
arithmetic/hydroflow/compiled,,,,,19066180.0,ns,64
arithmetic/hydroflow/compiled,,,,,19759780.0,ns,68
arithmetic/hydroflow/compiled,,,,,20483179.0,ns,72
arithmetic/hydroflow/compiled,,,,,21590277.0,ns,76
arithmetic/hydroflow/compiled,,,,,24333375.0,ns,80
arithmetic/hydroflow/compiled,,,,,25108074.0,ns,84
arithmetic/hydroflow/compiled,,,,,26934672.0,ns,88
arithmetic/hydroflow/compiled,,,,,27997571.0,ns,92
arithmetic/hydroflow/compiled,,,,,28836871.0,ns,96
arithmetic/hydroflow/compiled,,,,,28301470.0,ns,100
arithmetic/hydroflow/compiled,,,,,29661770.0,ns,104
arithmetic/hydroflow/compiled,,,,,30994268.0,ns,108
arithmetic/hydroflow/compiled,,,,,32480166.0,ns,112
arithmetic/hydroflow/compiled,,,,,36314962.0,ns,116
arithmetic/hydroflow/compiled,,,,,37459262.0,ns,120
arithmetic/hydroflow/compiled,,,,,35777663.0,ns,124
arithmetic/hydroflow/compiled,,,,,37137061.0,ns,128
arithmetic/hydroflow/compiled,,,,,39953459.0,ns,132
arithmetic/hydroflow/compiled,,,,,39401459.0,ns,136
arithmetic/hydroflow/compiled,,,,,41026458.0,ns,140
arithmetic/hydroflow/compiled,,,,,43030955.0,ns,144
arithmetic/hydroflow/compiled,,,,,43659655.0,ns,148
arithmetic/hydroflow/compiled,,,,,43710955.0,ns,152
arithmetic/hydroflow/compiled,,,,,44675854.0,ns,156
arithmetic/hydroflow/compiled,,,,,47304651.0,ns,160
arithmetic/hydroflow/compiled,,,,,47336651.0,ns,164
arithmetic/hydroflow/compiled,,,,,48657550.0,ns,168
