group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_in/hydroflow,,,,,200382429.0,ns,1
fan_in/hydroflow,,,,,199214012.0,ns,1
fan_in/hydroflow,,,,,199081610.0,ns,1
fan_in/hydroflow,,,,,198788506.0,ns,1
fan_in/hydroflow,,,,,198957309.0,ns,1
fan_in/hydroflow,,,,,199614318.0,ns,1
fan_in/hydroflow,,,,,199393514.0,ns,1
fan_in/hydroflow,,,,,198928609.0,ns,1
fan_in/hydroflow,,,,,198838907.0,ns,1
fan_in/hydroflow,,,,,198240098.0,ns,1
fan_in/hydroflow,,,,,198727605.0,ns,1
fan_in/hydroflow,,,,,198703105.0,ns,1
fan_in/hydroflow,,,,,198637504.0,ns,1
fan_in/hydroflow,,,,,198314100.0,ns,1
fan_in/hydroflow,,,,,198460001.0,ns,1
fan_in/hydroflow,,,,,198485702.0,ns,1
fan_in/hydroflow,,,,,199290814.0,ns,1
fan_in/hydroflow,,,,,198595303.0,ns,1
fan_in/hydroflow,,,,,199340614.0,ns,1
fan_in/hydroflow,,,,,198987709.0,ns,1
fan_in/hydroflow,,,,,198656504.0,ns,1
fan_in/hydroflow,,,,,198696105.0,ns,1
fan_in/hydroflow,,,,,198322900.0,ns,1
fan_in/hydroflow,,,,,198992309.0,ns,1
fan_in/hydroflow,,,,,198171897.0,ns,1
fan_in/hydroflow,,,,,199449316.0,ns,1
fan_in/hydroflow,,,,,198881907.0,ns,1
fan_in/hydroflow,,,,,199809121.0,ns,1
fan_in/hydroflow,,,,,197969395.0,ns,1
fan_in/hydroflow,,,,,199053910.0,ns,1
fan_in/hydroflow,,,,,199727019.0,ns,1
fan_in/hydroflow,,,,,199317211.0,ns,1
fan_in/hydroflow,,,,,198929205.0,ns,1
fan_in/hydroflow,,,,,198396798.0,ns,1
fan_in/hydroflow,,,,,198411298.0,ns,1
fan_in/hydroflow,,,,,199391612.0,ns,1
fan_in/hydroflow,,,,,199427112.0,ns,1
fan_in/hydroflow,,,,,199456712.0,ns,1
fan_in/hydroflow,,,,,199906519.0,ns,1
fan_in/hydroflow,,,,,199374312.0,ns,1
fan_in/hydroflow,,,,,200294825.0,ns,1
fan_in/hydroflow,,,,,198757203.0,ns,1
fan_in/hydroflow,,,,,199263010.0,ns,1
fan_in/hydroflow,,,,,201015835.0,ns,1
fan_in/hydroflow,,,,,203250266.0,ns,1
fan_in/hydroflow,,,,,200079421.0,ns,1
fan_in/hydroflow,,,,,199886119.0,ns,1
fan_in/hydroflow,,,,,201222538.0,ns,1
fan_in/hydroflow,,,,,200384626.0,ns,1
fan_in/hydroflow,,,,,198572700.0,ns,1
fan_in/hydroflow,,,,,199164509.0,ns,1
fan_in/hydroflow,,,,,198994506.0,ns,1
fan_in/hydroflow,,,,,199869419.0,ns,1
fan_in/hydroflow,,,,,198741903.0,ns,1
fan_in/hydroflow,,,,,199142508.0,ns,1
fan_in/hydroflow,,,,,199213909.0,ns,1
fan_in/hydroflow,,,,,199530014.0,ns,1
fan_in/hydroflow,,,,,203442069.0,ns,1
fan_in/hydroflow,,,,,201916948.0,ns,1
fan_in/hydroflow,,,,,201690944.0,ns,1
fan_in/hydroflow,,,,,201750145.0,ns,1
fan_in/hydroflow,,,,,199345811.0,ns,1
fan_in/hydroflow,,,,,199812518.0,ns,1
fan_in/hydroflow,,,,,198958306.0,ns,1
fan_in/hydroflow,,,,,199400012.0,ns,1
fan_in/hydroflow,,,,,199275910.0,ns,1
fan_in/hydroflow,,,,,198868305.0,ns,1
fan_in/hydroflow,,,,,198867004.0,ns,1
fan_in/hydroflow,,,,,198986606.0,ns,1
fan_in/hydroflow,,,,,199084108.0,ns,1
fan_in/hydroflow,,,,,199897319.0,ns,1
fan_in/hydroflow,,,,,199582017.0,ns,1
fan_in/hydroflow,,,,,198784807.0,ns,1
fan_in/hydroflow,,,,,198539203.0,ns,1
fan_in/hydroflow,,,,,198555003.0,ns,1
fan_in/hydroflow,,,,,198490903.0,ns,1
fan_in/hydroflow,,,,,198615904.0,ns,1
fan_in/hydroflow,,,,,198121197.0,ns,1
fan_in/hydroflow,,,,,199776321.0,ns,1
fan_in/hydroflow,,,,,198662105.0,ns,1
fan_in/hydroflow,,,,,198808807.0,ns,1
fan_in/hydroflow,,,,,198570103.0,ns,1
fan_in/hydroflow,,,,,198728906.0,ns,1
fan_in/hydroflow,,,,,198733806.0,ns,1
fan_in/hydroflow,,,,,199794321.0,ns,1
fan_in/hydroflow,,,,,199104011.0,ns,1
fan_in/hydroflow,,,,,200099325.0,ns,1
fan_in/hydroflow,,,,,198598804.0,ns,1
fan_in/hydroflow,,,,,198363801.0,ns,1
fan_in/hydroflow,,,,,198467602.0,ns,1
fan_in/hydroflow,,,,,198745806.0,ns,1
fan_in/hydroflow,,,,,199337614.0,ns,1
fan_in/hydroflow,,,,,198364301.0,ns,1
fan_in/hydroflow,,,,,198488902.0,ns,1
fan_in/hydroflow,,,,,198602204.0,ns,1
fan_in/hydroflow,,,,,199744820.0,ns,1
fan_in/hydroflow,,,,,200165626.0,ns,1
fan_in/hydroflow,,,,,198666805.0,ns,1
fan_in/hydroflow,,,,,198168998.0,ns,1
fan_in/hydroflow,,,,,198838008.0,ns,1
