group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_out/hydroflow/compiled (push),,,,,55405349.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51404252.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51671952.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51604552.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51644552.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51829752.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51533752.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51368762.0,ns,9
fan_out/hydroflow/compiled (push),,,,,53316967.0,ns,9
fan_out/hydroflow/compiled (push),,,,,55143266.0,ns,9
fan_out/hydroflow/compiled (push),,,,,54354566.0,ns,9
fan_out/hydroflow/compiled (push),,,,,52321468.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51388068.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51676768.0,ns,9
fan_out/hydroflow/compiled (push),,,,,52344267.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51808968.0,ns,9
fan_out/hydroflow/compiled (push),,,,,52023367.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51488068.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51623468.0,ns,9
fan_out/hydroflow/compiled (push),,,,,52910468.0,ns,9
fan_out/hydroflow/compiled (push),,,,,52179967.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51569968.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51855068.0,ns,9
fan_out/hydroflow/compiled (push),,,,,56693165.0,ns,9
fan_out/hydroflow/compiled (push),,,,,52002767.0,ns,9
fan_out/hydroflow/compiled (push),,,,,52864967.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51664468.0,ns,9
fan_out/hydroflow/compiled (push),,,,,58799564.0,ns,9
fan_out/hydroflow/compiled (push),,,,,53977466.0,ns,9
fan_out/hydroflow/compiled (push),,,,,52213368.0,ns,9
fan_out/hydroflow/compiled (push),,,,,52776967.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51463868.0,ns,9
fan_out/hydroflow/compiled (push),,,,,51939568.0,ns,9
