group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_out/hydroflow/compiled (push),,,,,52539409.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50750199.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50505097.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51145300.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51423303.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50291596.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52481108.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50363596.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53314214.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51448703.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51277901.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52387808.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51443203.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53140312.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52093907.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52662809.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52487709.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50939500.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50599697.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50017294.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50556198.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51055200.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52880911.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54331520.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51216701.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50729598.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50573597.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50167396.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50215095.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50315696.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53526815.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51670703.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53567915.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51628404.0,ns,7
