group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_out/hydroflow/teer,,,,,83595520.0,ns,1
fan_out/hydroflow/teer,,,,,82122110.0,ns,1
fan_out/hydroflow/teer,,,,,81410706.0,ns,1
fan_out/hydroflow/teer,,,,,81193005.0,ns,1
fan_out/hydroflow/teer,,,,,81549607.0,ns,1
fan_out/hydroflow/teer,,,,,82518613.0,ns,1
fan_out/hydroflow/teer,,,,,82810515.0,ns,1
fan_out/hydroflow/teer,,,,,82441312.0,ns,1
fan_out/hydroflow/teer,,,,,82907116.0,ns,1
fan_out/hydroflow/teer,,,,,80176698.0,ns,1
fan_out/hydroflow/teer,,,,,80018398.0,ns,1
fan_out/hydroflow/teer,,,,,80902303.0,ns,1
fan_out/hydroflow/teer,,,,,80387700.0,ns,1
fan_out/hydroflow/teer,,,,,83110716.0,ns,1
fan_out/hydroflow/teer,,,,,82682914.0,ns,1
fan_out/hydroflow/teer,,,,,81396806.0,ns,1
fan_out/hydroflow/teer,,,,,83060817.0,ns,1
fan_out/hydroflow/teer,,,,,81911509.0,ns,1
fan_out/hydroflow/teer,,,,,80052498.0,ns,1
fan_out/hydroflow/teer,,,,,81441106.0,ns,1
fan_out/hydroflow/teer,,,,,81350406.0,ns,1
fan_out/hydroflow/teer,,,,,82098110.0,ns,1
fan_out/hydroflow/teer,,,,,80958003.0,ns,1
fan_out/hydroflow/teer,,,,,80904603.0,ns,1
fan_out/hydroflow/teer,,,,,82626714.0,ns,1
fan_out/hydroflow/teer,,,,,83872721.0,ns,1
fan_out/hydroflow/teer,,,,,82649414.0,ns,1
fan_out/hydroflow/teer,,,,,82965759.0,ns,1
fan_out/hydroflow/teer,,,,,81170168.0,ns,1
fan_out/hydroflow/teer,,,,,83467991.0,ns,1
fan_out/hydroflow/teer,,,,,83748295.0,ns,1
fan_out/hydroflow/teer,,,,,84643904.0,ns,1
fan_out/hydroflow/teer,,,,,81967776.0,ns,1
fan_out/hydroflow/teer,,,,,81668472.0,ns,1
fan_out/hydroflow/teer,,,,,82571183.0,ns,1
fan_out/hydroflow/teer,,,,,80442659.0,ns,1
fan_out/hydroflow/teer,,,,,81231768.0,ns,1
fan_out/hydroflow/teer,,,,,83780395.0,ns,1
fan_out/hydroflow/teer,,,,,83842195.0,ns,1
fan_out/hydroflow/teer,,,,,84138299.0,ns,1
fan_out/hydroflow/teer,,,,,81235368.0,ns,1
fan_out/hydroflow/teer,,,,,80083156.0,ns,1
fan_out/hydroflow/teer,,,,,79042544.0,ns,1
fan_out/hydroflow/teer,,,,,81608772.0,ns,1
fan_out/hydroflow/teer,,,,,81968176.0,ns,1
fan_out/hydroflow/teer,,,,,82109377.0,ns,1
fan_out/hydroflow/teer,,,,,80266757.0,ns,1
fan_out/hydroflow/teer,,,,,79778553.0,ns,1
fan_out/hydroflow/teer,,,,,82432480.0,ns,1
fan_out/hydroflow/teer,,,,,83431892.0,ns,1
fan_out/hydroflow/teer,,,,,82224878.0,ns,1
fan_out/hydroflow/teer,,,,,83007887.0,ns,1
fan_out/hydroflow/teer,,,,,80824163.0,ns,1
fan_out/hydroflow/teer,,,,,83235789.0,ns,1
fan_out/hydroflow/teer,,,,,86318523.0,ns,1
fan_out/hydroflow/teer,,,,,86681926.0,ns,1
fan_out/hydroflow/teer,,,,,84250900.0,ns,1
fan_out/hydroflow/teer,,,,,81850574.0,ns,1
fan_out/hydroflow/teer,,,,,83797495.0,ns,1
fan_out/hydroflow/teer,,,,,83862896.0,ns,1
fan_out/hydroflow/teer,,,,,81867575.0,ns,1
fan_out/hydroflow/teer,,,,,81421670.0,ns,1
fan_out/hydroflow/teer,,,,,78510238.0,ns,1
fan_out/hydroflow/teer,,,,,78941544.0,ns,1
fan_out/hydroflow/teer,,,,,78705041.0,ns,1
fan_out/hydroflow/teer,,,,,80897964.0,ns,1
fan_out/hydroflow/teer,,,,,80027455.0,ns,1
fan_out/hydroflow/teer,,,,,79934854.0,ns,1
fan_out/hydroflow/teer,,,,,80130556.0,ns,1
fan_out/hydroflow/teer,,,,,81638572.0,ns,1
fan_out/hydroflow/teer,,,,,80612461.0,ns,1
fan_out/hydroflow/teer,,,,,80356759.0,ns,1
fan_out/hydroflow/teer,,,,,83084287.0,ns,1
fan_out/hydroflow/teer,,,,,83415891.0,ns,1
fan_out/hydroflow/teer,,,,,82065477.0,ns,1
fan_out/hydroflow/teer,,,,,81169267.0,ns,1
fan_out/hydroflow/teer,,,,,80363859.0,ns,1
fan_out/hydroflow/teer,,,,,81812974.0,ns,1
fan_out/hydroflow/teer,,,,,81048566.0,ns,1
fan_out/hydroflow/teer,,,,,81574371.0,ns,1
fan_out/hydroflow/teer,,,,,82198678.0,ns,1
fan_out/hydroflow/teer,,,,,81863375.0,ns,1
fan_out/hydroflow/teer,,,,,81696072.0,ns,1
fan_out/hydroflow/teer,,,,,84546304.0,ns,1
fan_out/hydroflow/teer,,,,,80334258.0,ns,1
fan_out/hydroflow/teer,,,,,80372859.0,ns,1
fan_out/hydroflow/teer,,,,,79382748.0,ns,1
fan_out/hydroflow/teer,,,,,79764552.0,ns,1
fan_out/hydroflow/teer,,,,,79303447.0,ns,1
fan_out/hydroflow/teer,,,,,80214457.0,ns,1
fan_out/hydroflow/teer,,,,,83521892.0,ns,1
fan_out/hydroflow/teer,,,,,84781506.0,ns,1
fan_out/hydroflow/teer,,,,,81959775.0,ns,1
fan_out/hydroflow/teer,,,,,79462849.0,ns,1
fan_out/hydroflow/teer,,,,,81541372.0,ns,1
fan_out/hydroflow/teer,,,,,80755362.0,ns,1
fan_out/hydroflow/teer,,,,,80924765.0,ns,1
fan_out/hydroflow/teer,,,,,80480960.0,ns,1
fan_out/hydroflow/teer,,,,,80773262.0,ns,1
fan_out/hydroflow/teer,,,,,79988455.0,ns,1
