group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fork_join/hydroflow,,,,,58749839.0,ns,5
fork_join/hydroflow,,,,,58727339.0,ns,5
fork_join/hydroflow,,,,,59140041.0,ns,5
fork_join/hydroflow,,,,,59337243.0,ns,5
fork_join/hydroflow,,,,,59025840.0,ns,5
fork_join/hydroflow,,,,,59381443.0,ns,5
fork_join/hydroflow,,,,,59097240.0,ns,5
fork_join/hydroflow,,,,,59254842.0,ns,5
fork_join/hydroflow,,,,,59157442.0,ns,5
fork_join/hydroflow,,,,,59224341.0,ns,5
fork_join/hydroflow,,,,,59228042.0,ns,5
fork_join/hydroflow,,,,,59108041.0,ns,5
fork_join/hydroflow,,,,,59369842.0,ns,5
fork_join/hydroflow,,,,,59348143.0,ns,5
fork_join/hydroflow,,,,,59199841.0,ns,5
fork_join/hydroflow,,,,,59124941.0,ns,5
fork_join/hydroflow,,,,,59042441.0,ns,5
fork_join/hydroflow,,,,,59076541.0,ns,5
fork_join/hydroflow,,,,,59525543.0,ns,5
fork_join/hydroflow,,,,,59448043.0,ns,5
fork_join/hydroflow,,,,,59748445.0,ns,5
fork_join/hydroflow,,,,,59766444.0,ns,5
fork_join/hydroflow,,,,,59737745.0,ns,5
fork_join/hydroflow,,,,,59728145.0,ns,5
fork_join/hydroflow,,,,,59678944.0,ns,5
fork_join/hydroflow,,,,,59586544.0,ns,5
fork_join/hydroflow,,,,,59857145.0,ns,5
fork_join/hydroflow,,,,,59577444.0,ns,5
fork_join/hydroflow,,,,,59708744.0,ns,5
fork_join/hydroflow,,,,,59605844.0,ns,5
fork_join/hydroflow,,,,,59752644.0,ns,5
fork_join/hydroflow,,,,,59591344.0,ns,5
fork_join/hydroflow,,,,,59699645.0,ns,5
fork_join/hydroflow,,,,,59598343.0,ns,5
fork_join/hydroflow,,,,,59859646.0,ns,5
fork_join/hydroflow,,,,,59232641.0,ns,5
fork_join/hydroflow,,,,,58693995.0,ns,5
fork_join/hydroflow,,,,,58560214.0,ns,5
fork_join/hydroflow,,,,,58569814.0,ns,5
fork_join/hydroflow,,,,,58515515.0,ns,5
fork_join/hydroflow,,,,,58677914.0,ns,5
fork_join/hydroflow,,,,,58684315.0,ns,5
fork_join/hydroflow,,,,,59495216.0,ns,5
fork_join/hydroflow,,,,,59440617.0,ns,5
fork_join/hydroflow,,,,,58986515.0,ns,5
fork_join/hydroflow,,,,,59052215.0,ns,5
fork_join/hydroflow,,,,,59043916.0,ns,5
fork_join/hydroflow,,,,,59681116.0,ns,5
fork_join/hydroflow,,,,,59564017.0,ns,5
fork_join/hydroflow,,,,,59992617.0,ns,5
fork_join/hydroflow,,,,,59514216.0,ns,5
fork_join/hydroflow,,,,,59518517.0,ns,5
fork_join/hydroflow,,,,,59505716.0,ns,5
fork_join/hydroflow,,,,,59683917.0,ns,5
fork_join/hydroflow,,,,,59604516.0,ns,5
fork_join/hydroflow,,,,,59472716.0,ns,5
fork_join/hydroflow,,,,,59326216.0,ns,5
fork_join/hydroflow,,,,,59577117.0,ns,5
fork_join/hydroflow,,,,,59537416.0,ns,5
fork_join/hydroflow,,,,,59582617.0,ns,5
fork_join/hydroflow,,,,,59546716.0,ns,5
fork_join/hydroflow,,,,,59617516.0,ns,5
fork_join/hydroflow,,,,,59567916.0,ns,5
fork_join/hydroflow,,,,,59623216.0,ns,5
fork_join/hydroflow,,,,,59622617.0,ns,5
fork_join/hydroflow,,,,,59871017.0,ns,5
fork_join/hydroflow,,,,,59842717.0,ns,5
fork_join/hydroflow,,,,,59879817.0,ns,5
fork_join/hydroflow,,,,,59682417.0,ns,5
fork_join/hydroflow,,,,,59625416.0,ns,5
fork_join/hydroflow,,,,,59619817.0,ns,5
fork_join/hydroflow,,,,,59768617.0,ns,5
fork_join/hydroflow,,,,,59872417.0,ns,5
fork_join/hydroflow,,,,,59791516.0,ns,5
fork_join/hydroflow,,,,,59546717.0,ns,5
fork_join/hydroflow,,,,,59523816.0,ns,5
fork_join/hydroflow,,,,,59829417.0,ns,5
fork_join/hydroflow,,,,,59748217.0,ns,5
fork_join/hydroflow,,,,,59876217.0,ns,5
fork_join/hydroflow,,,,,59821717.0,ns,5
fork_join/hydroflow,,,,,59892617.0,ns,5
fork_join/hydroflow,,,,,59617016.0,ns,5
fork_join/hydroflow,,,,,59725917.0,ns,5
fork_join/hydroflow,,,,,59803817.0,ns,5
fork_join/hydroflow,,,,,59858117.0,ns,5
fork_join/hydroflow,,,,,59598016.0,ns,5
fork_join/hydroflow,,,,,59827817.0,ns,5
fork_join/hydroflow,,,,,59527617.0,ns,5
fork_join/hydroflow,,,,,59764156.0,ns,5
fork_join/hydroflow,,,,,59620662.0,ns,5
fork_join/hydroflow,,,,,59294460.0,ns,5
fork_join/hydroflow,,,,,58916558.0,ns,5
fork_join/hydroflow,,,,,59467961.0,ns,5
fork_join/hydroflow,,,,,59182159.0,ns,5
fork_join/hydroflow,,,,,58892158.0,ns,5
fork_join/hydroflow,,,,,58656256.0,ns,5
fork_join/hydroflow,,,,,59013358.0,ns,5
fork_join/hydroflow,,,,,58885458.0,ns,5
fork_join/hydroflow,,,,,58809057.0,ns,5
fork_join/hydroflow,,,,,58551955.0,ns,5
