group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fork_join/hydroflow,,,,,51906032.0,ns,6
fork_join/hydroflow,,,,,51855332.0,ns,6
fork_join/hydroflow,,,,,51824331.0,ns,6
fork_join/hydroflow,,,,,51872632.0,ns,6
fork_join/hydroflow,,,,,51802230.0,ns,6
fork_join/hydroflow,,,,,52003734.0,ns,6
fork_join/hydroflow,,,,,51966833.0,ns,6
fork_join/hydroflow,,,,,51938033.0,ns,6
fork_join/hydroflow,,,,,51858231.0,ns,6
fork_join/hydroflow,,,,,51864832.0,ns,6
fork_join/hydroflow,,,,,51807930.0,ns,6
fork_join/hydroflow,,,,,51879632.0,ns,6
fork_join/hydroflow,,,,,51840831.0,ns,6
fork_join/hydroflow,,,,,51855732.0,ns,6
fork_join/hydroflow,,,,,51884532.0,ns,6
fork_join/hydroflow,,,,,51769730.0,ns,6
fork_join/hydroflow,,,,,52006733.0,ns,6
fork_join/hydroflow,,,,,51780831.0,ns,6
fork_join/hydroflow,,,,,51768430.0,ns,6
fork_join/hydroflow,,,,,51735430.0,ns,6
fork_join/hydroflow,,,,,51896632.0,ns,6
fork_join/hydroflow,,,,,51880831.0,ns,6
fork_join/hydroflow,,,,,51877632.0,ns,6
fork_join/hydroflow,,,,,51769530.0,ns,6
fork_join/hydroflow,,,,,51904032.0,ns,6
fork_join/hydroflow,,,,,52034134.0,ns,6
fork_join/hydroflow,,,,,51837931.0,ns,6
fork_join/hydroflow,,,,,51918233.0,ns,6
fork_join/hydroflow,,,,,52069434.0,ns,6
fork_join/hydroflow,,,,,51885932.0,ns,6
fork_join/hydroflow,,,,,51761130.0,ns,6
fork_join/hydroflow,,,,,51868932.0,ns,6
fork_join/hydroflow,,,,,51961933.0,ns,6
fork_join/hydroflow,,,,,51891332.0,ns,6
fork_join/hydroflow,,,,,52194936.0,ns,6
fork_join/hydroflow,,,,,51800830.0,ns,6
fork_join/hydroflow,,,,,51843132.0,ns,6
fork_join/hydroflow,,,,,51773530.0,ns,6
fork_join/hydroflow,,,,,51832731.0,ns,6
fork_join/hydroflow,,,,,51899632.0,ns,6
fork_join/hydroflow,,,,,51796431.0,ns,6
fork_join/hydroflow,,,,,51836431.0,ns,6
fork_join/hydroflow,,,,,51724129.0,ns,6
fork_join/hydroflow,,,,,51847132.0,ns,6
fork_join/hydroflow,,,,,51850431.0,ns,6
fork_join/hydroflow,,,,,51737130.0,ns,6
fork_join/hydroflow,,,,,51864631.0,ns,6
fork_join/hydroflow,,,,,51930633.0,ns,6
fork_join/hydroflow,,,,,52109335.0,ns,6
fork_join/hydroflow,,,,,51950232.0,ns,6
fork_join/hydroflow,,,,,51904332.0,ns,6
fork_join/hydroflow,,,,,51971533.0,ns,6
fork_join/hydroflow,,,,,51809030.0,ns,6
fork_join/hydroflow,,,,,51906832.0,ns,6
fork_join/hydroflow,,,,,51793031.0,ns,6
fork_join/hydroflow,,,,,51836531.0,ns,6
fork_join/hydroflow,,,,,51935533.0,ns,6
fork_join/hydroflow,,,,,51854331.0,ns,6
fork_join/hydroflow,,,,,51829531.0,ns,6
fork_join/hydroflow,,,,,52000934.0,ns,6
fork_join/hydroflow,,,,,51811430.0,ns,6
fork_join/hydroflow,,,,,51937433.0,ns,6
fork_join/hydroflow,,,,,51775630.0,ns,6
fork_join/hydroflow,,,,,51773430.0,ns,6
fork_join/hydroflow,,,,,51857732.0,ns,6
fork_join/hydroflow,,,,,51866831.0,ns,6
fork_join/hydroflow,,,,,51950332.0,ns,6
fork_join/hydroflow,,,,,51965033.0,ns,6
fork_join/hydroflow,,,,,51858932.0,ns,6
fork_join/hydroflow,,,,,51829331.0,ns,6
fork_join/hydroflow,,,,,52002933.0,ns,6
fork_join/hydroflow,,,,,51967833.0,ns,6
fork_join/hydroflow,,,,,51777131.0,ns,6
fork_join/hydroflow,,,,,51776530.0,ns,6
fork_join/hydroflow,,,,,51797230.0,ns,6
fork_join/hydroflow,,,,,51760830.0,ns,6
fork_join/hydroflow,,,,,51797831.0,ns,6
fork_join/hydroflow,,,,,51796731.0,ns,6
fork_join/hydroflow,,,,,52022833.0,ns,6
fork_join/hydroflow,,,,,51908833.0,ns,6
fork_join/hydroflow,,,,,51884231.0,ns,6
fork_join/hydroflow,,,,,51794131.0,ns,6
fork_join/hydroflow,,,,,52053034.0,ns,6
fork_join/hydroflow,,,,,52100535.0,ns,6
fork_join/hydroflow,,,,,51985433.0,ns,6
fork_join/hydroflow,,,,,51825331.0,ns,6
fork_join/hydroflow,,,,,51927733.0,ns,6
fork_join/hydroflow,,,,,51798130.0,ns,6
fork_join/hydroflow,,,,,51733330.0,ns,6
fork_join/hydroflow,,,,,51931332.0,ns,6
fork_join/hydroflow,,,,,51849632.0,ns,6
fork_join/hydroflow,,,,,51752830.0,ns,6
fork_join/hydroflow,,,,,51934032.0,ns,6
fork_join/hydroflow,,,,,51884732.0,ns,6
fork_join/hydroflow,,,,,51936933.0,ns,6
fork_join/hydroflow,,,,,51826031.0,ns,6
fork_join/hydroflow,,,,,51907732.0,ns,6
fork_join/hydroflow,,,,,51804530.0,ns,6
fork_join/hydroflow,,,,,51848132.0,ns,6
fork_join/hydroflow,,,,,51827531.0,ns,6
