group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fork_join/hydroflow_builder,,,,,94782740.0,ns,2
fork_join/hydroflow_builder,,,,,93514924.0,ns,2
fork_join/hydroflow_builder,,,,,94271133.0,ns,2
fork_join/hydroflow_builder,,,,,94194333.0,ns,2
fork_join/hydroflow_builder,,,,,93541324.0,ns,2
fork_join/hydroflow_builder,,,,,94319434.0,ns,2
fork_join/hydroflow_builder,,,,,94386035.0,ns,2
fork_join/hydroflow_builder,,,,,93809027.0,ns,2
fork_join/hydroflow_builder,,,,,94377035.0,ns,2
fork_join/hydroflow_builder,,,,,94310034.0,ns,2
fork_join/hydroflow_builder,,,,,93946629.0,ns,2
fork_join/hydroflow_builder,,,,,94985442.0,ns,2
fork_join/hydroflow_builder,,,,,94178133.0,ns,2
fork_join/hydroflow_builder,,,,,93730126.0,ns,2
fork_join/hydroflow_builder,,,,,94026630.0,ns,2
fork_join/hydroflow_builder,,,,,94145832.0,ns,2
fork_join/hydroflow_builder,,,,,93534124.0,ns,2
fork_join/hydroflow_builder,,,,,93843228.0,ns,2
fork_join/hydroflow_builder,,,,,93983030.0,ns,2
fork_join/hydroflow_builder,,,,,93456923.0,ns,2
fork_join/hydroflow_builder,,,,,93738026.0,ns,2
fork_join/hydroflow_builder,,,,,94236833.0,ns,2
fork_join/hydroflow_builder,,,,,93757827.0,ns,2
fork_join/hydroflow_builder,,,,,93951130.0,ns,2
fork_join/hydroflow_builder,,,,,93984029.0,ns,2
fork_join/hydroflow_builder,,,,,93562325.0,ns,2
fork_join/hydroflow_builder,,,,,94017630.0,ns,2
fork_join/hydroflow_builder,,,,,94283133.0,ns,2
fork_join/hydroflow_builder,,,,,93391622.0,ns,2
fork_join/hydroflow_builder,,,,,94325435.0,ns,2
fork_join/hydroflow_builder,,,,,94235033.0,ns,2
fork_join/hydroflow_builder,,,,,94033230.0,ns,2
fork_join/hydroflow_builder,,,,,94470036.0,ns,2
fork_join/hydroflow_builder,,,,,94475521.0,ns,2
fork_join/hydroflow_builder,,,,,93539402.0,ns,2
fork_join/hydroflow_builder,,,,,94048409.0,ns,2
fork_join/hydroflow_builder,,,,,94279811.0,ns,2
fork_join/hydroflow_builder,,,,,93734305.0,ns,2
fork_join/hydroflow_builder,,,,,94112309.0,ns,2
fork_join/hydroflow_builder,,,,,94007308.0,ns,2
fork_join/hydroflow_builder,,,,,93614703.0,ns,2
fork_join/hydroflow_builder,,,,,93915407.0,ns,2
fork_join/hydroflow_builder,,,,,94347112.0,ns,2
fork_join/hydroflow_builder,,,,,93539002.0,ns,2
fork_join/hydroflow_builder,,,,,94301711.0,ns,2
fork_join/hydroflow_builder,,,,,94471214.0,ns,2
fork_join/hydroflow_builder,,,,,94040709.0,ns,2
fork_join/hydroflow_builder,,,,,94228310.0,ns,2
fork_join/hydroflow_builder,,,,,94414813.0,ns,2
fork_join/hydroflow_builder,,,,,93849406.0,ns,2
fork_join/hydroflow_builder,,,,,94474714.0,ns,2
fork_join/hydroflow_builder,,,,,94370612.0,ns,2
fork_join/hydroflow_builder,,,,,93874806.0,ns,2
fork_join/hydroflow_builder,,,,,94581316.0,ns,2
fork_join/hydroflow_builder,,,,,94578015.0,ns,2
fork_join/hydroflow_builder,,,,,93711604.0,ns,2
fork_join/hydroflow_builder,,,,,94220211.0,ns,2
fork_join/hydroflow_builder,,,,,94109309.0,ns,2
fork_join/hydroflow_builder,,,,,93355300.0,ns,2
fork_join/hydroflow_builder,,,,,93954507.0,ns,2
fork_join/hydroflow_builder,,,,,94218610.0,ns,2
fork_join/hydroflow_builder,,,,,93688104.0,ns,2
fork_join/hydroflow_builder,,,,,94030508.0,ns,2
fork_join/hydroflow_builder,,,,,94457414.0,ns,2
fork_join/hydroflow_builder,,,,,93762305.0,ns,2
fork_join/hydroflow_builder,,,,,94233111.0,ns,2
fork_join/hydroflow_builder,,,,,95022721.0,ns,2
fork_join/hydroflow_builder,,,,,94010808.0,ns,2
fork_join/hydroflow_builder,,,,,94359212.0,ns,2
fork_join/hydroflow_builder,,,,,94845719.0,ns,2
fork_join/hydroflow_builder,,,,,94651716.0,ns,2
fork_join/hydroflow_builder,,,,,95097122.0,ns,2
fork_join/hydroflow_builder,,,,,94710717.0,ns,2
fork_join/hydroflow_builder,,,,,94323412.0,ns,2
fork_join/hydroflow_builder,,,,,94631816.0,ns,2
fork_join/hydroflow_builder,,,,,94573915.0,ns,2
fork_join/hydroflow_builder,,,,,93569603.0,ns,2
fork_join/hydroflow_builder,,,,,94320711.0,ns,2
fork_join/hydroflow_builder,,,,,94182711.0,ns,2
fork_join/hydroflow_builder,,,,,93564702.0,ns,2
fork_join/hydroflow_builder,,,,,93896406.0,ns,2
fork_join/hydroflow_builder,,,,,94193811.0,ns,2
fork_join/hydroflow_builder,,,,,93640403.0,ns,2
fork_join/hydroflow_builder,,,,,94009308.0,ns,2
fork_join/hydroflow_builder,,,,,94142210.0,ns,2
fork_join/hydroflow_builder,,,,,93490501.0,ns,2
fork_join/hydroflow_builder,,,,,94205510.0,ns,2
fork_join/hydroflow_builder,,,,,94311712.0,ns,2
fork_join/hydroflow_builder,,,,,93685204.0,ns,2
fork_join/hydroflow_builder,,,,,93833706.0,ns,2
fork_join/hydroflow_builder,,,,,94319012.0,ns,2
fork_join/hydroflow_builder,,,,,93792905.0,ns,2
fork_join/hydroflow_builder,,,,,94379913.0,ns,2
fork_join/hydroflow_builder,,,,,94283211.0,ns,2
fork_join/hydroflow_builder,,,,,93762505.0,ns,2
fork_join/hydroflow_builder,,,,,94440613.0,ns,2
fork_join/hydroflow_builder,,,,,94151910.0,ns,2
fork_join/hydroflow_builder,,,,,93697904.0,ns,2
fork_join/hydroflow_builder,,,,,94031008.0,ns,2
fork_join/hydroflow_builder,,,,,94073109.0,ns,2
