group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
identity/hydroflow,,,,,96991980.0,ns,2
identity/hydroflow,,,,,96581878.0,ns,2
identity/hydroflow,,,,,96287377.0,ns,2
identity/hydroflow,,,,,97142981.0,ns,2
identity/hydroflow,,,,,97200481.0,ns,2
identity/hydroflow,,,,,96898380.0,ns,2
identity/hydroflow,,,,,98353587.0,ns,2
identity/hydroflow,,,,,99431372.0,ns,2
identity/hydroflow,,,,,98959088.0,ns,2
identity/hydroflow,,,,,98528182.0,ns,2
identity/hydroflow,,,,,97086064.0,ns,2
identity/hydroflow,,,,,97223467.0,ns,2
identity/hydroflow,,,,,96770161.0,ns,2
identity/hydroflow,,,,,97168166.0,ns,2
identity/hydroflow,,,,,96355856.0,ns,2
identity/hydroflow,,,,,96894462.0,ns,2
identity/hydroflow,,,,,97473870.0,ns,2
identity/hydroflow,,,,,96563358.0,ns,2
identity/hydroflow,,,,,96820562.0,ns,2
identity/hydroflow,,,,,97587671.0,ns,2
identity/hydroflow,,,,,97130665.0,ns,2
identity/hydroflow,,,,,96724660.0,ns,2
identity/hydroflow,,,,,96465358.0,ns,2
identity/hydroflow,,,,,96904662.0,ns,2
identity/hydroflow,,,,,96908063.0,ns,2
identity/hydroflow,,,,,96544358.0,ns,2
identity/hydroflow,,,,,97566971.0,ns,2
identity/hydroflow,,,,,97704672.0,ns,2
identity/hydroflow,,,,,96743661.0,ns,2
identity/hydroflow,,,,,97543070.0,ns,2
identity/hydroflow,,,,,97205966.0,ns,2
identity/hydroflow,,,,,97966675.0,ns,2
identity/hydroflow,,,,,98116878.0,ns,2
identity/hydroflow,,,,,99946799.0,ns,2
identity/hydroflow,,,,,97541370.0,ns,2
identity/hydroflow,,,,,96585159.0,ns,2
identity/hydroflow,,,,,97372568.0,ns,2
identity/hydroflow,,,,,97195766.0,ns,2
identity/hydroflow,,,,,97621471.0,ns,2
identity/hydroflow,,,,,96761661.0,ns,2
identity/hydroflow,,,,,96526558.0,ns,2
identity/hydroflow,,,,,96496358.0,ns,2
identity/hydroflow,,,,,96708160.0,ns,2
identity/hydroflow,,,,,96954163.0,ns,2
identity/hydroflow,,,,,96234555.0,ns,2
identity/hydroflow,,,,,96517744.0,ns,2
identity/hydroflow,,,,,96596402.0,ns,2
identity/hydroflow,,,,,96765305.0,ns,2
identity/hydroflow,,,,,96787706.0,ns,2
identity/hydroflow,,,,,97912326.0,ns,2
identity/hydroflow,,,,,96456699.0,ns,2
identity/hydroflow,,,,,96674403.0,ns,2
identity/hydroflow,,,,,96774705.0,ns,2
identity/hydroflow,,,,,96479200.0,ns,2
identity/hydroflow,,,,,96260795.0,ns,2
identity/hydroflow,,,,,96181294.0,ns,2
identity/hydroflow,,,,,96830906.0,ns,2
identity/hydroflow,,,,,97222714.0,ns,2
identity/hydroflow,,,,,96270095.0,ns,2
identity/hydroflow,,,,,96346898.0,ns,2
identity/hydroflow,,,,,96286096.0,ns,2
identity/hydroflow,,,,,96197294.0,ns,2
identity/hydroflow,,,,,96452600.0,ns,2
identity/hydroflow,,,,,96607102.0,ns,2
identity/hydroflow,,,,,96370097.0,ns,2
identity/hydroflow,,,,,96594302.0,ns,2
identity/hydroflow,,,,,97168913.0,ns,2
identity/hydroflow,,,,,97103311.0,ns,2
identity/hydroflow,,,,,97060411.0,ns,2
identity/hydroflow,,,,,97096911.0,ns,2
identity/hydroflow,,,,,96440199.0,ns,2
identity/hydroflow,,,,,96808606.0,ns,2
identity/hydroflow,,,,,97158012.0,ns,2
identity/hydroflow,,,,,96767905.0,ns,2
identity/hydroflow,,,,,96994210.0,ns,2
identity/hydroflow,,,,,96875207.0,ns,2
identity/hydroflow,,,,,96623002.0,ns,2
identity/hydroflow,,,,,96392598.0,ns,2
identity/hydroflow,,,,,98666041.0,ns,2
identity/hydroflow,,,,,97997628.0,ns,2
identity/hydroflow,,,,,96689904.0,ns,2
identity/hydroflow,,,,,96768505.0,ns,2
identity/hydroflow,,,,,96535201.0,ns,2
identity/hydroflow,,,,,96487500.0,ns,2
identity/hydroflow,,,,,96768605.0,ns,2
identity/hydroflow,,,,,96783505.0,ns,2
identity/hydroflow,,,,,97229514.0,ns,2
identity/hydroflow,,,,,96747305.0,ns,2
identity/hydroflow,,,,,97189913.0,ns,2
identity/hydroflow,,,,,97028910.0,ns,2
identity/hydroflow,,,,,96819506.0,ns,2
identity/hydroflow,,,,,96978709.0,ns,2
identity/hydroflow,,,,,97539019.0,ns,2
identity/hydroflow,,,,,96755405.0,ns,2
identity/hydroflow,,,,,97302915.0,ns,2
identity/hydroflow,,,,,97646922.0,ns,2
identity/hydroflow,,,,,96844706.0,ns,2
identity/hydroflow,,,,,96568702.0,ns,2
identity/hydroflow,,,,,98108730.0,ns,2
identity/hydroflow,,,,,97322415.0,ns,2
