group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
identity/hydroflow,,,,,95653377.0,ns,2
identity/hydroflow,,,,,95377873.0,ns,2
identity/hydroflow,,,,,95770479.0,ns,2
identity/hydroflow,,,,,95712278.0,ns,2
identity/hydroflow,,,,,95698378.0,ns,2
identity/hydroflow,,,,,95665377.0,ns,2
identity/hydroflow,,,,,96267186.0,ns,2
identity/hydroflow,,,,,97114896.0,ns,2
identity/hydroflow,,,,,95959482.0,ns,2
identity/hydroflow,,,,,95854779.0,ns,2
identity/hydroflow,,,,,96733792.0,ns,2
identity/hydroflow,,,,,96736892.0,ns,2
identity/hydroflow,,,,,97345300.0,ns,2
identity/hydroflow,,,,,97105596.0,ns,2
identity/hydroflow,,,,,97303799.0,ns,2
identity/hydroflow,,,,,96197385.0,ns,2
identity/hydroflow,,,,,95921081.0,ns,2
identity/hydroflow,,,,,95539975.0,ns,2
identity/hydroflow,,,,,95515776.0,ns,2
identity/hydroflow,,,,,95900380.0,ns,2
identity/hydroflow,,,,,95683778.0,ns,2
identity/hydroflow,,,,,95877880.0,ns,2
identity/hydroflow,,,,,95739778.0,ns,2
identity/hydroflow,,,,,95847580.0,ns,2
identity/hydroflow,,,,,95510275.0,ns,2
identity/hydroflow,,,,,95656478.0,ns,2
identity/hydroflow,,,,,97138297.0,ns,2
identity/hydroflow,,,,,96603090.0,ns,2
identity/hydroflow,,,,,96170384.0,ns,2
identity/hydroflow,,,,,96005182.0,ns,2
identity/hydroflow,,,,,96238985.0,ns,2
identity/hydroflow,,,,,95639977.0,ns,2
identity/hydroflow,,,,,95547375.0,ns,2
identity/hydroflow,,,,,95906481.0,ns,2
identity/hydroflow,,,,,95639577.0,ns,2
identity/hydroflow,,,,,95477375.0,ns,2
identity/hydroflow,,,,,95527575.0,ns,2
identity/hydroflow,,,,,96709592.0,ns,2
identity/hydroflow,,,,,97373200.0,ns,2
identity/hydroflow,,,,,97086596.0,ns,2
identity/hydroflow,,,,,96211985.0,ns,2
identity/hydroflow,,,,,96257285.0,ns,2
identity/hydroflow,,,,,96878594.0,ns,2
identity/hydroflow,,,,,96831693.0,ns,2
identity/hydroflow,,,,,99294625.0,ns,2
identity/hydroflow,,,,,99881534.0,ns,2
identity/hydroflow,,,,,97267599.0,ns,2
identity/hydroflow,,,,,97779105.0,ns,2
identity/hydroflow,,,,,97585503.0,ns,2
identity/hydroflow,,,,,96289686.0,ns,2
identity/hydroflow,,,,,95963181.0,ns,2
identity/hydroflow,,,,,96867094.0,ns,2
identity/hydroflow,,,,,96227685.0,ns,2
identity/hydroflow,,,,,95618576.0,ns,2
identity/hydroflow,,,,,96361087.0,ns,2
identity/hydroflow,,,,,96137484.0,ns,2
identity/hydroflow,,,,,96338586.0,ns,2
identity/hydroflow,,,,,95725378.0,ns,2
identity/hydroflow,,,,,95422474.0,ns,2
identity/hydroflow,,,,,95469375.0,ns,2
identity/hydroflow,,,,,95518375.0,ns,2
identity/hydroflow,,,,,95544675.0,ns,2
identity/hydroflow,,,,,95712778.0,ns,2
identity/hydroflow,,,,,95377274.0,ns,2
identity/hydroflow,,,,,95544879.0,ns,2
identity/hydroflow,,,,,95548217.0,ns,2
identity/hydroflow,,,,,95707220.0,ns,2
identity/hydroflow,,,,,96347728.0,ns,2
identity/hydroflow,,,,,95814521.0,ns,2
identity/hydroflow,,,,,96215226.0,ns,2
identity/hydroflow,,,,,95648118.0,ns,2
identity/hydroflow,,,,,95388414.0,ns,2
identity/hydroflow,,,,,95821121.0,ns,2
identity/hydroflow,,,,,95704920.0,ns,2
identity/hydroflow,,,,,95850821.0,ns,2
identity/hydroflow,,,,,96498830.0,ns,2
identity/hydroflow,,,,,95847822.0,ns,2
identity/hydroflow,,,,,95832521.0,ns,2
identity/hydroflow,,,,,95587218.0,ns,2
identity/hydroflow,,,,,96073324.0,ns,2
identity/hydroflow,,,,,95692019.0,ns,2
identity/hydroflow,,,,,95957523.0,ns,2
identity/hydroflow,,,,,95897122.0,ns,2
identity/hydroflow,,,,,95629018.0,ns,2
identity/hydroflow,,,,,95614118.0,ns,2
identity/hydroflow,,,,,95743620.0,ns,2
identity/hydroflow,,,,,95783421.0,ns,2
identity/hydroflow,,,,,95973023.0,ns,2
identity/hydroflow,,,,,95718119.0,ns,2
identity/hydroflow,,,,,95977923.0,ns,2
identity/hydroflow,,,,,96676733.0,ns,2
identity/hydroflow,,,,,97666646.0,ns,2
identity/hydroflow,,,,,96965737.0,ns,2
identity/hydroflow,,,,,96554631.0,ns,2
identity/hydroflow,,,,,95948723.0,ns,2
identity/hydroflow,,,,,96122625.0,ns,2
identity/hydroflow,,,,,96031924.0,ns,2
identity/hydroflow,,,,,95929022.0,ns,2
identity/hydroflow,,,,,96815835.0,ns,2
identity/hydroflow,,,,,98038151.0,ns,2
