group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
identity/hydroflow/compiled,,,,,66821854.0,ns,4
identity/hydroflow/compiled,,,,,62996485.0,ns,4
identity/hydroflow/compiled,,,,,65853260.0,ns,4
identity/hydroflow/compiled,,,,,64030385.0,ns,4
identity/hydroflow/compiled,,,,,57973399.0,ns,4
identity/hydroflow/compiled,,,,,58242725.0,ns,4
identity/hydroflow/compiled,,,,,58783278.0,ns,4
identity/hydroflow/compiled,,,,,61946283.0,ns,4
identity/hydroflow/compiled,,,,,60606454.0,ns,4
identity/hydroflow/compiled,,,,,64014483.0,ns,4
identity/hydroflow/compiled,,,,,65112889.0,ns,4
identity/hydroflow/compiled,,,,,66917863.0,ns,4
identity/hydroflow/compiled,,,,,66601133.0,ns,4
identity/hydroflow/compiled,,,,,63566539.0,ns,4
identity/hydroflow/compiled,,,,,67701339.0,ns,4
identity/hydroflow/compiled,,,,,67095181.0,ns,4
identity/hydroflow/compiled,,,,,65895564.0,ns,4
identity/hydroflow/compiled,,,,,65963471.0,ns,4
identity/hydroflow/compiled,,,,,64398819.0,ns,4
identity/hydroflow/compiled,,,,,65048582.0,ns,4
identity/hydroflow/compiled,,,,,66269401.0,ns,4
identity/hydroflow/compiled,,,,,65851460.0,ns,4
identity/hydroflow/compiled,,,,,65846060.0,ns,4
identity/hydroflow/compiled,,,,,65296007.0,ns,4
identity/hydroflow/compiled,,,,,64230403.0,ns,4
identity/hydroflow/compiled,,,,,67469417.0,ns,4
identity/hydroflow/compiled,,,,,69027967.0,ns,4
identity/hydroflow/compiled,,,,,67498019.0,ns,4
identity/hydroflow/compiled,,,,,65801656.0,ns,4
identity/hydroflow/compiled,,,,,66360109.0,ns,4
identity/hydroflow/compiled,,,,,65427520.0,ns,4
identity/hydroflow/compiled,,,,,63986080.0,ns,4
identity/hydroflow/compiled,,,,,61289119.0,ns,4
identity/hydroflow/compiled,,,,,61709361.0,ns,4
identity/hydroflow/compiled,,,,,67116682.0,ns,4
identity/hydroflow/compiled,,,,,67360206.0,ns,4
identity/hydroflow/compiled,,,,,66655238.0,ns,4
identity/hydroflow/compiled,,,,,64953174.0,ns,4
identity/hydroflow/compiled,,,,,65113489.0,ns,4
identity/hydroflow/compiled,,,,,68850550.0,ns,4
identity/hydroflow/compiled,,,,,67765545.0,ns,4
identity/hydroflow/compiled,,,,,65883063.0,ns,4
identity/hydroflow/compiled,,,,,67042576.0,ns,4
identity/hydroflow/compiled,,,,,66452218.0,ns,4
identity/hydroflow/compiled,,,,,60987390.0,ns,4
identity/hydroflow/compiled,,,,,61373728.0,ns,4
identity/hydroflow/compiled,,,,,61647955.0,ns,4
identity/hydroflow/compiled,,,,,64321512.0,ns,4
identity/hydroflow/compiled,,,,,65146892.0,ns,4
identity/hydroflow/compiled,,,,,63018987.0,ns,4
identity/hydroflow/compiled,,,,,60242619.0,ns,4
identity/hydroflow/compiled,,,,,62648050.0,ns,4
identity/hydroflow/compiled,,,,,62711057.0,ns,4
identity/hydroflow/compiled,,,,,61113503.0,ns,4
identity/hydroflow/compiled,,,,,62138602.0,ns,4
identity/hydroflow/compiled,,,,,61206511.0,ns,4
identity/hydroflow/compiled,,,,,64672747.0,ns,4
identity/hydroflow/compiled,,,,,64718651.0,ns,4
identity/hydroflow/compiled,,,,,65527329.0,ns,4
identity/hydroflow/compiled,,,,,65074885.0,ns,4
identity/hydroflow/compiled,,,,,59761572.0,ns,4
identity/hydroflow/compiled,,,,,59764673.0,ns,4
identity/hydroflow/compiled,,,,,58360336.0,ns,4
identity/hydroflow/compiled,,,,,58313433.0,ns,4
identity/hydroflow/compiled,,,,,60801172.0,ns,4
identity/hydroflow/compiled,,,,,59782774.0,ns,4
identity/hydroflow/compiled,,,,,59490546.0,ns,4
identity/hydroflow/compiled,,,,,59090307.0,ns,4
identity/hydroflow/compiled,,,,,59951391.0,ns,4
identity/hydroflow/compiled,,,,,55971306.0,ns,4
identity/hydroflow/compiled,,,,,59375535.0,ns,4
identity/hydroflow/compiled,,,,,60933885.0,ns,4
identity/hydroflow/compiled,,,,,63795862.0,ns,4
identity/hydroflow/compiled,,,,,60903082.0,ns,4
identity/hydroflow/compiled,,,,,64814760.0,ns,4
identity/hydroflow/compiled,,,,,60271022.0,ns,4
identity/hydroflow/compiled,,,,,60966688.0,ns,4
identity/hydroflow/compiled,,,,,63728455.0,ns,4
identity/hydroflow/compiled,,,,,61024894.0,ns,4
identity/hydroflow/compiled,,,,,61534944.0,ns,4
identity/hydroflow/compiled,,,,,61072699.0,ns,4
identity/hydroflow/compiled,,,,,58891188.0,ns,4
identity/hydroflow/compiled,,,,,58670266.0,ns,4
identity/hydroflow/compiled,,,,,62145603.0,ns,4
identity/hydroflow/compiled,,,,,61509841.0,ns,4
identity/hydroflow/compiled,,,,,59211619.0,ns,4
identity/hydroflow/compiled,,,,,58207522.0,ns,4
identity/hydroflow/compiled,,,,,57788481.0,ns,4
identity/hydroflow/compiled,,,,,60226717.0,ns,4
identity/hydroflow/compiled,,,,,62046693.0,ns,4
identity/hydroflow/compiled,,,,,61890678.0,ns,4
identity/hydroflow/compiled,,,,,62480334.0,ns,4
identity/hydroflow/compiled,,,,,61558646.0,ns,4
identity/hydroflow/compiled,,,,,60908584.0,ns,4
identity/hydroflow/compiled,,,,,62339222.0,ns,4
identity/hydroflow/compiled,,,,,67180190.0,ns,4
identity/hydroflow/compiled,,,,,60943887.0,ns,4
identity/hydroflow/compiled,,,,,58553056.0,ns,4
identity/hydroflow/compiled,,,,,62958682.0,ns,4
identity/hydroflow/compiled,,,,,59620460.0,ns,4
