group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
identity/hydroflow/compiled,,,,,53656419.0,ns,3
identity/hydroflow/compiled,,,,,60582960.0,ns,3
identity/hydroflow/compiled,,,,,53660320.0,ns,3
identity/hydroflow/compiled,,,,,53206417.0,ns,3
identity/hydroflow/compiled,,,,,51984909.0,ns,3
identity/hydroflow/compiled,,,,,53763620.0,ns,3
identity/hydroflow/compiled,,,,,52679413.0,ns,3
identity/hydroflow/compiled,,,,,51440507.0,ns,3
identity/hydroflow/compiled,,,,,54828826.0,ns,3
identity/hydroflow/compiled,,,,,51591907.0,ns,3
identity/hydroflow/compiled,,,,,52669214.0,ns,3
identity/hydroflow/compiled,,,,,54730525.0,ns,3
identity/hydroflow/compiled,,,,,52551813.0,ns,3
identity/hydroflow/compiled,,,,,52064710.0,ns,3
identity/hydroflow/compiled,,,,,55098028.0,ns,3
identity/hydroflow/compiled,,,,,51826208.0,ns,3
identity/hydroflow/compiled,,,,,53935445.0,ns,3
identity/hydroflow/compiled,,,,,52534359.0,ns,3
identity/hydroflow/compiled,,,,,51549553.0,ns,3
identity/hydroflow/compiled,,,,,52354158.0,ns,3
identity/hydroflow/compiled,,,,,51291451.0,ns,3
identity/hydroflow/compiled,,,,,52849262.0,ns,3
identity/hydroflow/compiled,,,,,54014469.0,ns,3
identity/hydroflow/compiled,,,,,53282565.0,ns,3
identity/hydroflow/compiled,,,,,56008883.0,ns,3
identity/hydroflow/compiled,,,,,57700095.0,ns,3
identity/hydroflow/compiled,,,,,52506460.0,ns,3
identity/hydroflow/compiled,,,,,52829561.0,ns,3
identity/hydroflow/compiled,,,,,52899262.0,ns,3
identity/hydroflow/compiled,,,,,55473580.0,ns,3
identity/hydroflow/compiled,,,,,53844868.0,ns,3
identity/hydroflow/compiled,,,,,50305044.0,ns,3
identity/hydroflow/compiled,,,,,54416473.0,ns,3
identity/hydroflow/compiled,,,,,55718881.0,ns,3
identity/hydroflow/compiled,,,,,53188864.0,ns,3
identity/hydroflow/compiled,,,,,57485694.0,ns,3
identity/hydroflow/compiled,,,,,50138643.0,ns,3
identity/hydroflow/compiled,,,,,49804441.0,ns,3
identity/hydroflow/compiled,,,,,52205457.0,ns,3
identity/hydroflow/compiled,,,,,56101184.0,ns,3
identity/hydroflow/compiled,,,,,61618321.0,ns,3
identity/hydroflow/compiled,,,,,61673822.0,ns,3
identity/hydroflow/compiled,,,,,55009877.0,ns,3
identity/hydroflow/compiled,,,,,60313813.0,ns,3
