group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
reachability/hydroflow,,,,,49772651.0,ns,20
reachability/hydroflow,,,,,49355152.0,ns,20
reachability/hydroflow,,,,,49384851.0,ns,20
reachability/hydroflow,,,,,52258049.0,ns,20
reachability/hydroflow,,,,,49183151.0,ns,20
reachability/hydroflow,,,,,49386052.0,ns,20
reachability/hydroflow,,,,,53165747.0,ns,20
reachability/hydroflow,,,,,51089850.0,ns,20
reachability/hydroflow,,,,,49762551.0,ns,20
reachability/hydroflow,,,,,51653049.0,ns,20
reachability/hydroflow,,,,,49295952.0,ns,20
reachability/hydroflow,,,,,49009052.0,ns,20
reachability/hydroflow,,,,,50083450.0,ns,20
reachability/hydroflow,,,,,57001144.0,ns,20
reachability/hydroflow,,,,,54323947.0,ns,20
reachability/hydroflow,,,,,49887551.0,ns,20
reachability/hydroflow,,,,,53927347.0,ns,20
reachability/hydroflow,,,,,51230949.0,ns,20
reachability/hydroflow,,,,,49736652.0,ns,20
reachability/hydroflow,,,,,49398051.0,ns,20
reachability/hydroflow,,,,,49941051.0,ns,20
reachability/hydroflow,,,,,49219251.0,ns,20
reachability/hydroflow,,,,,50099051.0,ns,20
reachability/hydroflow,,,,,50482650.0,ns,20
reachability/hydroflow,,,,,49431052.0,ns,20
reachability/hydroflow,,,,,51630749.0,ns,20
reachability/hydroflow,,,,,50001951.0,ns,20
reachability/hydroflow,,,,,49310751.0,ns,20
reachability/hydroflow,,,,,49289852.0,ns,20
reachability/hydroflow,,,,,49221851.0,ns,20
reachability/hydroflow,,,,,54803047.0,ns,20
reachability/hydroflow,,,,,54823346.0,ns,20
reachability/hydroflow,,,,,51162249.0,ns,20
reachability/hydroflow,,,,,50927150.0,ns,20
reachability/hydroflow,,,,,50872850.0,ns,20
reachability/hydroflow,,,,,51035150.0,ns,20
reachability/hydroflow,,,,,50859750.0,ns,20
reachability/hydroflow,,,,,49929551.0,ns,20
reachability/hydroflow,,,,,50172550.0,ns,20
reachability/hydroflow,,,,,50422451.0,ns,20
reachability/hydroflow,,,,,50699250.0,ns,20
reachability/hydroflow,,,,,49862351.0,ns,20
reachability/hydroflow,,,,,50919050.0,ns,20
reachability/hydroflow,,,,,50440550.0,ns,20
reachability/hydroflow,,,,,50722050.0,ns,20
reachability/hydroflow,,,,,49970351.0,ns,20
reachability/hydroflow,,,,,50822350.0,ns,20
reachability/hydroflow,,,,,50758050.0,ns,20
reachability/hydroflow,,,,,51575350.0,ns,20
reachability/hydroflow,,,,,54900146.0,ns,20
reachability/hydroflow,,,,,51833249.0,ns,20
reachability/hydroflow,,,,,51634049.0,ns,20
reachability/hydroflow,,,,,50849850.0,ns,20
reachability/hydroflow,,,,,52689848.0,ns,20
reachability/hydroflow,,,,,55602145.0,ns,20
reachability/hydroflow,,,,,49780451.0,ns,20
reachability/hydroflow,,,,,52481349.0,ns,20
reachability/hydroflow,,,,,51811849.0,ns,20
reachability/hydroflow,,,,,50601550.0,ns,20
reachability/hydroflow,,,,,49200352.0,ns,20
reachability/hydroflow,,,,,49664351.0,ns,20
reachability/hydroflow,,,,,50075350.0,ns,20
reachability/hydroflow,,,,,51207950.0,ns,20
reachability/hydroflow,,,,,49272952.0,ns,20
reachability/hydroflow,,,,,49973950.0,ns,20
reachability/hydroflow,,,,,49356552.0,ns,20
reachability/hydroflow,,,,,49739751.0,ns,20
reachability/hydroflow,,,,,49561851.0,ns,20
reachability/hydroflow,,,,,50064351.0,ns,20
reachability/hydroflow,,,,,49841551.0,ns,20
reachability/hydroflow,,,,,49590051.0,ns,20
reachability/hydroflow,,,,,50129051.0,ns,20
reachability/hydroflow,,,,,50758150.0,ns,20
reachability/hydroflow,,,,,50305950.0,ns,20
reachability/hydroflow,,,,,49351752.0,ns,20
reachability/hydroflow,,,,,49712451.0,ns,20
reachability/hydroflow,,,,,51894549.0,ns,20
reachability/hydroflow,,,,,53396847.0,ns,20
reachability/hydroflow,,,,,51358550.0,ns,20
reachability/hydroflow,,,,,49598151.0,ns,20
reachability/hydroflow,,,,,49242852.0,ns,20
reachability/hydroflow,,,,,52138348.0,ns,20
reachability/hydroflow,,,,,50214251.0,ns,20
reachability/hydroflow,,,,,49576751.0,ns,20
reachability/hydroflow,,,,,49025552.0,ns,20
reachability/hydroflow,,,,,49782251.0,ns,20
reachability/hydroflow,,,,,49221252.0,ns,20
reachability/hydroflow,,,,,49359651.0,ns,20
reachability/hydroflow,,,,,49576651.0,ns,20
reachability/hydroflow,,,,,48971152.0,ns,20
reachability/hydroflow,,,,,49218652.0,ns,20
reachability/hydroflow,,,,,49517751.0,ns,20
reachability/hydroflow,,,,,51379649.0,ns,20
reachability/hydroflow,,,,,51503250.0,ns,20
reachability/hydroflow,,,,,50535550.0,ns,20
reachability/hydroflow,,,,,49211152.0,ns,20
reachability/hydroflow,,,,,49433351.0,ns,20
reachability/hydroflow,,,,,51073450.0,ns,20
reachability/hydroflow,,,,,50211050.0,ns,20
reachability/hydroflow,,,,,49307452.0,ns,20
